15:58:55 | DEBUG   | asyncio | Using selector: KqueueSelector
15:58:58 | INFO    | openrecall.server.database.migrations.runner | Applying migration v1: add multimodal tables
15:58:58 | INFO    | openrecall.server.database.migrations.runner | Migration v1 applied successfully
15:58:58 | INFO    | openrecall.server.database.migrations.runner | Applying migration v2: add video chunk status
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Column already exists: duplicate column name: created_at
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Column already exists: duplicate column name: expires_at
15:58:58 | INFO    | openrecall.server.database.migrations.runner | Migration v2 applied successfully
15:58:58 | INFO    | openrecall.server.database.migrations.runner | Applying migration v3: add video chunk monitor fields
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Column already exists: duplicate column name: created_at
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Column already exists: duplicate column name: expires_at
15:58:58 | INFO    | openrecall.server.database.migrations.runner | Migration v3 applied successfully
15:58:58 | INFO    | openrecall.server.database.migrations.runner | Applying migration v4: add video chunk app window
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Column already exists: duplicate column name: created_at
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Column already exists: duplicate column name: expires_at
15:58:58 | INFO    | openrecall.server.database.migrations.runner | Migration v4 applied successfully
15:58:58 | INFO    | openrecall.server.database.migrations.runner | Applying migration v5: add video chunk timestamps
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Column already exists: duplicate column name: created_at
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Column already exists: duplicate column name: expires_at
15:58:58 | INFO    | openrecall.server.database.migrations.runner | Migration v5 applied successfully
15:58:58 | INFO    | openrecall.server.database.sql | Database migrations ensured (version=5, elapsed=0.006s)
15:58:58 | INFO    | openrecall.server.database.vector_store | Creating LanceDB table 'semantic_snapshots'
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v1 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v2 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v3 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v4 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v5 already applied, skipping
15:58:58 | INFO    | openrecall.server.database.sql | Database migrations ensured (version=5, elapsed=0.001s)
15:58:58 | INFO    | openrecall.server.ai.providers | OpenAIEmbeddingProvider configured: base=https://api.siliconflow.cn/v1 model=Qwen/Qwen3-Embedding-0.6B
15:58:58 | INFO    | openrecall.server.services.reranker | Initialized APIReranker with URL: https://api.siliconflow.cn/v1/rerank
15:58:58 | INFO    | openrecall.server.search.engine | SearchEngine initialized with Reranker: api (Qwen/Qwen3-Reranker-0.6B)
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v1 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v2 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v3 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v4 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v5 already applied, skipping
15:58:58 | INFO    | openrecall.server.database.sql | Database migrations ensured (version=5, elapsed=0.000s)
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v1 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v2 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v3 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v4 already applied, skipping
15:58:58 | DEBUG   | openrecall.server.database.migrations.runner | Migration v5 already applied, skipping
